keyword,keyword_num_documents
high,48863
align,41189
talk,30598
second,28702
outages,28603
everyone,26053
event,25738
keith,21706
ago,20058
bid,19524
trades,19073
experience,18732
results,17451
begin,17148
life,16908
elink,15675
location,14953
build,14880
solution,13102
true,12733
firms,10801
pdavis1,10445
serve,10421
moved,10199
particular,8765
morris,8704
detailed,8249
relationship,8129
stuff,8037
controls,7975
leaders,7837
janine,6838
velaw,6777
clint,6748
perspective,6595
20subject,6498
eescc,6063
lists,5936
currency,5833
dalton,5745
fire,5530
method,5122
participating,5080
hull,5028
child,4725
kirk,4685
priced,4579
releases,4512
billy,4502
reliable,4279
singapore,4183
vehicle,4033
expensive,4031
oss,3828
edge,3798
crawford,3771
anywhere,3716
bidding,3704
clay,3487
jklauber,3482
fuels,3342
filled,3337
businessweek,3167
centers,3120
pts,3027
francis,2963
additions,2878
instance,2867
transferred,2857
tues,2818
receives,2791
lebrocq,2778
dfossum,2753
simpson,2690
abc,2689
edelman,2680
20be,2580
revise,2565
simulation,2503
chain,2487
pacifier,2323
somebody,2220
teb,2214
unusual,2199
corey,2162
excite,2102
gallup,2088
traveler,1927
truck,1917
lobbying,1906
22nd,1875
dyson,1810
eecc,1802
bakerbotts,1777
mintz,1777
cruz,1772
4175,1752
trips,1719
mcarson2,1685
emclaug,1680
20there,1661
plaintiffs,1658
sugaoka,1644
convinced,1607
tables,1598
netted,1565
noble,1550
inspection,1513
forming,1506
des,1459
satisfied,1413
bechtel,1372
impressed,1313
era,1285
612229,1282
larsen,1270
cds,1197
welch,1166
keyword,1126
67142,1113
neuweiler,1091
pakistan,1078
evolution,1069
oversee,1064
238,1039
bathroom,1020
3366,1012
tlokey,974
refinery,929
saldana,922
marsh,888
vignaroli,870
kenneth_lay_dec2000,855
murrell,852
nyseg,840
deserves,839
chadbourne,829
levine,825
bearing,819
cor,817
hidalgo,798
disposal,794
olympic,773
20increase,767
kingman,753
rams,734
animal,726
hug,719
freeland,716
preferably,714
mdb,700
videos,690
stuffthe,690
residence,685
deleon,670
09monday,670
fold,665
scada,663
static,659
doxley,657
euros,653
blown,640
interruption,639
enron09,638
bout,637
establishes,627
isa,625
amahajan,620
erisk,617
sinha,610
kirstee,600
athletic,598
lmi,592
jurewijl,589
firstenergy,588
latimes,587
delage,586
powerhouse,582
correlations,580
troutmansanders,579
294,578
loocke,542
pmusual,535
brenna,534
855,531
jllodra,530
adapt,529
cei,512
dep,504
__________________________________________________,494
stevenson,492
316,481
brostad,475
continuously,467
kristann,464
seigal,460
nsfguys,457
mahan,456
blowing,450
sparks,448
ial,442
lantz,437
dynergy,433
californi,432
orlogo,432
pandya,430
ress,419
rodsubject,414
leblanc,413
ljohnso5,411
yamanishi,407
talisman,406
totake,405
sticker,392
competitively,391
chapters,390
rmilnth,390
descoteaux,388
interestingly,386
seas,385
20special,382
vineyard,376
citation,376
844,375
inquired,373
20short,368
hispanic,366
offtake,359
guido,359
mccorkle,358
exiting,353
aspreliminary,353
jimsubject,346
liaison,337
ome,335
corporates,330
persistent,325
dquezada,323
malin_5_rndmtn,313
netwhere,309
inves,308
scarbrough,307
contin,306
20message,305
electing,302
budgeting,302
oducts,296
cstark,296
alexia,295
systematic,294
comthanks,292
20either,290
aff,290
champions,286
dorinson,285
goodness,283
deed,279
20temporary,278
braswell,272
elder,272
1436,272
extracted,267
4100,263
brunini,262
agreementhi,261
ddame,260
cqg,259
houstonchronicle,259
eb3321,257
20determine,256
intentional,253
dong,253
milberg,253
dragon,253
uslgn,253
800washington,252
darrellsubject,248
theproposed,248
20game,245
videotape,245
lilwoodrows,243
supervise,242
thismorning,237
kmi,237
tbutton,235
casting,235
056,233
20every,231
quickest,231
undervalued,230
padgett,229
trimming,228
catequil,228
diablo,227
8625673d,224
pradesh,224
593507c0,223
theutility,222
interlata,220
sacerdote,218
erased,218
photography,218
calger503,216
snowball,215
enewsletter_admin,213
1252,212
mbas,211
expeditiously,210
nsfdue,209
sanasta,209
farris,209
ammunition,208
yall,206
instituting,206
confronted,205
maynot,203
herasimchuk,203
modisette916,202
wbom,201
dion,201
revived,200
enduring,199
sumit,199
tame,199
philipson,196
sewage,196
cli,195
valu,193
5673e,192
cjenkins,191
20wall,190
modems,189
epfs,188
arrays,187
rallying,187
thereforedoes,186
twst,184
20northwest,183
milford,181
nest,180
3473,179
dliu,178
sbennet3,176
conservatives,176
specialpages,175
harwood,175
coolbroth,174
__________,173
houstgrp,173
shapp,172
cfiguero,172
vistaar,172
mikeh,171
20far,170
tareen,169
stec,168
quell,167
abacus,167
6mm,166
jwvs,164
filex,164
vantagepoint,163
slayman,162
luca,161
pstsorry,161
astoria,160
takemura,159
koh,158
2101,155
rachelle,155
8625692f,154
vineet,154
lacey,154
nryan,154
assemblymember,154
financeenron,154
36to,153
gump,152
gras,152
20consumption,151
copiesof,151
20challenge,150
nsa,150
fighters,149
heeg,149
apx1,148
sothebys,148
raisler,148
stocklookup,147
hethorne,147
9976,145
ofcredit,145
topfive,145
gopalan,144
pachauri,144
iadc,144
realoptions,143
miscommunication,143
2001as,143
7773,143
agreementwith,143
gkrse,142
20check,142
ellensubject,141
60601,141
vonbock,140
jargon,139
thirsty,139
mates,138
overcoming,138
shrug,138
nsfsheila,138
tblancha,138
spins,137
otcbb,137
severude,137
spacious,137
omega,136
tdhca,136
dfancle,136
snodgrass,134
burra,132
thecapacity,132
09your,131
sins,131
sacto,131
previo,130
dcb,130
sallycc,130
wmp,130
torrence,128
rican,127
ibew,127
vengeance,127
suitors,124
duggar,124
3887holly,123
jhoward,123
nsfhave,123
shudeish,122
lorenzo,121
chilled,120
tprmb,120
wrinkle,120
hillh,120
20spaces,119
egy,119
holliday,118
abernath,118
nobuo,118
mozart,118
lec,118
jbavouse,117
brashear,117
unavailability,116
toconsider,115
265need,115
timesofindia,114
62072,114
nformation,114
teiglandl,113
amou,113
tres,113
violators,113
hobson,113
escaping,113
235174,112
jpgiles,112
3114,112
princetonlive,111
cartridge,111
proportionately,111
halley,110
uninstall,110
courting,109
surethat,109
blender,108
sowah,108
impractical,108
seab,106
enronsigshop,106
fnegrete,106
osb,106
usly,106
reminderthe,105
09trunkline,105
diligencethis,105
navair,105
quine,104
christina_122367,104
tcoffing,103
1676,102
agreeement,102
contactinformation,102
kaminski08,102
690m,101
deskpro,101
astrong,101
20managers,100
20500,100
